"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"STMN1","OK",0,69.3219727914945,0.675901800752901,"STMN1",0
"CD52","OK",0,62.3636632589999,0.610101254513181,"CD52",0
"HMGN2","OK",0,55.1430766487944,0.536410267430139,"HMGN2",0
"LAPTM5","OK",0,41.9561516495006,0.409868082490926,"LAPTM5",0
"CLSPN","OK",0,45.9219230590041,0.440842177642364,"CLSPN",0
"CSF3R","OK",0,41.604043482754,0.337657206574823,"CSF3R",0
"CDCA8","OK",0,55.6014532279062,0.531426081200518,"CDCA8",0
"CDC20","OK",0,62.8847935096656,0.601884222942445,"CDC20",0
"KIF2C","OK",0,40.5487976623069,0.3877700443414,"KIF2C",0
"TMEM59","OK",0,58.1611278954473,0.565838415527617,"TMEM59",0
"JUN","OK",0,57.6420204582959,0.561835311571033,"JUN",0
"S100A9","OK",0,60.5910405288917,0.556730067962062,"S100A9",0
"S100A8","OK",0,56.8777744946615,0.525069069654118,"S100A8",0
"RPS27","OK",0,61.0637910236997,0.597588497558286,"RPS27",0
"CKS1B","OK",0,39.0925101285011,0.379181852481214,"CKS1B",0
"KRTCAP2","OK",0,46.9064854810514,0.453614629345022,"KRTCAP2",0
"SLAMF7","OK",0,72.8346930804664,0.708852615581931,"SLAMF7",0
"ASPM","OK",0,47.9870383543204,0.444666021429563,"ASPM",0
"UBE2T","OK",0,46.8355317404296,0.450404388623355,"UBE2T",0
"CENPF","OK",0,73.7042427801642,0.711347309448533,"CENPF",0
"RRM2","OK",0,57.5966621014417,0.5545361003387,"RRM2",0
"SDC1","OK",0,62.5852432653446,0.607905100548982,"SDC1",0
"ERLEC1","OK",0,38.9062458729908,0.378458837362079,"ERLEC1",0
"RPL31","OK",0,39.7839241157164,0.389011108531725,"RPL31",0
"CKAP2L","OK",0,55.1424372831369,0.52893218400205,"CKAP2L",0
"SPC25","OK",0,40.1421213292574,0.381503528961474,"SPC25",0
"ITM2C","OK",0,50.1801448931937,0.487790636532958,"ITM2C",0
"PTMA","OK",0,58.6279767631035,0.573358077765072,"PTMA",0
"HJURP","OK",0,51.9754145059605,0.491806608430291,"HJURP",0
"HDLBP","OK",0,46.5436956027077,0.449657805541408,"HDLBP",0
"ANKRD28","OK",0,48.666939370853,0.472067952218733,"ANKRD28",0
"TOP2B","OK",0,40.9702707460723,0.398651641905969,"TOP2B",0
"ARPP21","OK",0,55.489924000024,0.539831615273052,"ARPP21",0
"KIF15","OK",0,52.7500224314859,0.4991273611715,"KIF15",0
"SPCS1","OK",0,64.4569057451732,0.628534230366134,"SPCS1",0
"SELK","OK",0,50.0023199160286,0.487512744277343,"SELK",0
"MME","OK",0,43.6055742782368,0.424767134135479,"MME",0
"SSR3","OK",0,61.8503379427922,0.602214124829851,"SSR3",0
"FNDC3B","OK",0,48.5847463409243,0.465902976820469,"FNDC3B",0
"S100P","OK",0,39.7789523096472,0.363898221395479,"S100P",0
"CXCL8","OK",0,47.1978338094328,0.42201940650468,"CXCL8",0
"PF4","OK",0,46.6812760692873,0.41888572369989,"PF4",0
"PPBP","OK",0,42.1771211009912,0.395031588135206,"PPBP",0
"H2AFZ","OK",0,64.5454790554908,0.628084534098409,"H2AFZ",0
"BANK1","OK",0,44.8643796070854,0.438370581768424,"BANK1",0
"CENPE","OK",0,40.6181542628417,0.385462910389152,"CENPE",0
"GYPB","OK",0,46.533594853942,0.429124968457003,"GYPB",0
"HMGB2","OK",0,79.2665995637129,0.769910652747718,"HMGB2",0
"SPCS3","OK",0,49.4537632459732,0.479743486672327,"SPCS3",0
"CENPU","OK",0,43.6929303897233,0.424232729191157,"CENPU",0
"SUB1","OK",0,48.1095829182731,0.469850126532299,"SUB1",0
"ELL2","OK",0,43.321680472226,0.418254824023445,"ELL2",0
"H2AFY","OK",0,39.880365887031,0.388849204254705,"H2AFY",0
"MZB1","OK",0,73.2235374770336,0.713686117361185,"MZB1",0
"CD74","OK",0,66.4322249111609,0.650197795812204,"CD74",0
"RPS14","OK",0,47.6454075924957,0.465879120510959,"RPS14",0
"SMIM3","OK",0,43.5708780256377,0.42176019982072,"SMIM3",0
"PTTG1","OK",0,56.5896304059619,0.537532042630232,"PTTG1",0
"HMMR","OK",0,55.9796920545173,0.522525903398665,"HMMR",0
"LMAN2","OK",0,54.7474787927956,0.532925602660965,"LMAN2",0
"TXNDC5","OK",0,61.489653385746,0.595412083708855,"TXNDC5",0
"SOX4","OK",0,53.6082143123746,0.522716780959515,"SOX4",0
"HIST1H1C","OK",0,41.4198960568106,0.398205901407886,"HIST1H1C",0
"HIST1H4C","OK",0,65.5857497752008,0.633321776350493,"HIST1H4C",0
"HIST1H1B","OK",0,49.1776901309173,0.463490847317266,"HIST1H1B",0
"HIST1H2AM","OK",0,50.2701576901287,0.483647480143038,"HIST1H2AM",0
"TUBB","OK",0,74.0211205059138,0.719419293241473,"TUBB",0
"HLA.DRA","OK",0,54.2160099785355,0.530450790936466,"HLA.DRA",0
"HLA.DRB1","OK",0,38.7256935819106,0.378455644011234,"HLA.DRB1",0
"CD24","OK",0,49.9257781144752,0.487246895415256,"CD24",0
"AKAP12","OK",0,39.8845491443998,0.387385841333768,"AKAP12",0
"ACTB","OK",0,38.6948713056479,0.378051225371999,"ACTB",0
"KDELR2","OK",0,42.3160929659616,0.412160045317123,"KDELR2",0
"PPIA","OK",0,47.1187705172197,0.46006527347209,"PPIA",0
"CAV1","OK",0,42.7364945460794,0.412883293881854,"CAV1",0
"CREB3L2","OK",0,38.9230056670771,0.376790033970188,"CREB3L2",0
"PDIA4","OK",0,43.374047426585,0.418332745790992,"PDIA4",0
"CD99","OK",0,62.6658425065716,0.610578459718216,"CD99",0
"TMSB4X","OK",0,46.4189159537714,0.45397840882652,"TMSB4X",0
"PRDX4","OK",0,77.8332345540009,0.757613071094102,"PRDX4",0
"SSR4","OK",0,93.4163303574029,0.911794811093528,"SSR4",0
"ESCO2","OK",0,41.1668262281396,0.392981521183451,"ESCO2",0
"PBK","OK",0,38.968962309179,0.37246996797958,"PBK",0
"PLPP5","OK",0,38.9296591385061,0.380115650622719,"PLPP5",0
"CA1","OK",0,54.6985035028917,0.509679417767122,"CA1",0
"TRIB1","OK",0,49.2983341773169,0.474454611945425,"TRIB1",0
"SEC61B","OK",0,43.0675898965347,0.420526327540911,"SEC61B",0
"HSPA5","OK",0,43.2032868406694,0.419679879938229,"HSPA5",0
"FCN1","OK",0,49.6153576166647,0.453393513352875,"FCN1",0
"TUBB4B","OK",0,49.3418155781732,0.47880716244085,"TUBB4B",0
"RPLP2","OK",0,43.8312274865747,0.428595904978392,"RPLP2",0
"HBB","OK",0,69.1899851223337,0.663386749031955,"HBB",0
"HBD","OK",0,51.74717261471,0.469238113857737,"HBD",0
"RPL27A","OK",0,40.248528850915,0.393456852603881,"RPL27A",0
"NUCB2","OK",0,59.2160548950759,0.577689055382419,"NUCB2",0
"MS4A1","OK",0,50.9537297411757,0.497865062282819,"MS4A1",0
"TMEM258","OK",0,59.8286065226708,0.583279935920826,"TMEM258",0
"FKBP2","OK",0,66.4782270818075,0.647360649260242,"FKBP2",0
"GSTP1","OK",0,39.7445876307751,0.387243834081157,"GSTP1",0
"SPCS2","OK",0,49.5004073562568,0.482911018352209,"SPCS2",0
"C10orf10","OK",0,43.2361258187771,0.417139084596856,"C10orf10",0
"ZWINT","OK",0,51.160020742335,0.494378659895785,"ZWINT",0
"SRGN","OK",0,47.6549620589406,0.455707138051588,"SRGN",0
"PSAP","OK",0,65.3977341068236,0.636967087234705,"PSAP",0
"DNTT","OK",0,80.0309835148793,0.78080072789117,"DNTT",0
"MKI67","OK",0,49.7696651411942,0.475781102932489,"MKI67",0
"CD9","OK",0,56.5448858198295,0.550884139405191,"CD9",0
"CD27","OK",0,46.7681938091234,0.453642043319372,"CD27",0
"GAPDH","OK",0,58.2275012536951,0.5669928005889,"GAPDH",0
"CDCA3","OK",0,53.4281365482148,0.514430332615449,"CDCA3",0
"FKBP11","OK",0,82.7418027816408,0.806215524146696,"FKBP11",0
"TROAP","OK",0,48.1624280688699,0.451507413683234,"TROAP",0
"SPATS2","OK",0,43.166305011587,0.418427968291696,"SPATS2",0
"TMBIM6","OK",0,46.4168384823741,0.452171552487721,"TMBIM6",0
"CD63","OK",0,66.3522911110958,0.645841124153177,"CD63",0
"LYZ","OK",0,55.2535605004615,0.512208276923137,"LYZ",0
"E2F7","OK",0,43.6080653062157,0.394758836400545,"E2F7",0
"HSP90B1","OK",0,74.5469779471346,0.725590858528423,"HSP90B1",0
"UBC","OK",0,49.7688839687909,0.485130895309188,"UBC",0
