"orig.ident","nCount_RNA","nFeature_RNA","cell_id","celltype","UMI_number","gene_number","individual","tissue","population","cluster","redefined_cluster","mitopercent","RNA_snn_res.0.9","seurat_clusters","ident","Size_Factor","monocle3_pseudotime"
"immB",27000,2237,"immB_bBM1_L10_bar67","immB",26975,2233,"bBM1","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",27000,3.92434445241044
"immB",43490,2748,"immB_bBM1_L10_bar68","immB",43448,2744,"bBM1","bBM","b","B_C4","Immature B",0,"1","1","1",43490,4.46645389243062
"immB",10705,2282,"immB_bBM1_L10_bar69","immB",10696,2278,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",10705,6.6391358709967
"immB",37543,2525,"immB_bBM1_L10_bar70","immB",37528,2523,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",37543,6.38303117273106
"immB",30581,2124,"immB_bBM1_L10_bar71","immB",30577,2120,"bBM1","bBM","b","B_C4","Immature B",0,"1","1","1",30581,4.06952820421827
"immB",23081,2285,"immB_bBM1_L10_bar72","immB",23075,2283,"bBM1","bBM","b","B_C4","Immature B",0,"1","1","1",23081,4.64463146335264
"immB",2313,1121,"immB_bBM1_L10_bar73","immB",2313,1121,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",2313,10.5624620613072
"immB",50007,2432,"immB_bBM1_L10_bar74","immB",50006,2431,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",50007,6.68569728103889
"immB",18783,2355,"immB_bBM1_L10_bar75","immB",18764,2351,"bBM1","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",18783,3.81422118863761
"immB",26027,2256,"immB_bBM1_L10_bar77","immB",25991,2250,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",26027,8.19963768283523
"immB",11758,2090,"immB_bBM1_L10_bar78","immB",11696,2085,"bBM1","bBM","b","B_C4","Immature B",0,"2","2","2",11758,10.5730518963435
"immB",52476,2724,"immB_bBM1_L10_bar79","immB",52473,2722,"bBM1","bBM","b","B_C5","Naive B",0,"2","2","2",52476,8.01995987367194
"immB",46259,2571,"immB_bBM1_L10_bar80","immB",46240,2564,"bBM1","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",46259,3.81422751538299
"immB",15012,2580,"immB_bBM1_L10_bar81","immB",15010,2578,"bBM1","bBM","b","B_C4","Immature B",0,"1","1","1",15012,5.36811678496625
"immB",6739,1470,"immB_bBM1_L10_bar82","immB",6720,1466,"bBM1","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",6739,3.97455491329204
"immB",14877,2567,"immB_bBM2_L10_bar17","immB",14835,2556,"bBM2","bBM","b","B_C4","Immature B",0,"7","7","7",14877,0.14517108000616
"immB",11982,2252,"immB_bBM2_L10_bar18","immB",11969,2247,"bBM2","bBM","b","B_C4","Immature B",0,"2","2","2",11982,6.35552749429432
"immB",18413,2081,"immB_bBM2_L10_bar19","immB",18400,2077,"bBM2","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",18413,5.19765995740041
"immB",4935,1446,"immB_bBM2_L10_bar20","immB",4916,1441,"bBM2","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",4935,4.78612313202079
"immB",6390,1550,"immB_bBM2_L10_bar21","immB",6358,1536,"bBM2","bBM","b","B_C3","Pre-B/Regulatory B",0,"1","1","1",6390,4.46787147407247
"immB",4558,1368,"immB_bBM2_L10_bar22","immB",4558,1368,"bBM2","bBM","b","B_C4","Immature B",0,"1","1","1",4558,0.0167101157096606
